application_number,application_date,priority,priority_date,family_members,family_member_count,inpadoc_family_members,inpadoc_family_member_count,publication_number,filing_order,application_order,family_variance
PCT/EP2014/078449,2014-12-18,PCT/EP2014/078449,-,WO2016096014A1,1,WO2016096014A1,1,WO2016096014A1,1,1,0
PCT/IB2014/000414,2014-03-25,PCT/IB2014/000414,-,WO2014080385A2 | WO2014080385A3,2,WO2014080385A2 | WO2014080385A3,2,WO2014080385A3,1,1,0
EP2014290118,2014-04-24,EP2014290118,-,EP2938117B1 | EP2938117A1,2,EP2938117B1 | EP2938117A1,2,EP2938117B1,1,1,0
PCT/US2015/037428,2015-06-24,PCT/US2015/037428,-,WO2016209225A1,1,WO2016209225A1,1,WO2016209225A1,1,1,0
PCT/IB2014/000416,2014-03-25,PCT/IB2014/000416,-,WO2014080387A8 | CN106103275A | WO2014080387A2 | WO2014080387A3,4,WO2014080387A8 | CN106103275A | WO2014080387A2 | WO2014080387A3,4,WO2014080387A3,1,1,0
PCT/IB2017/000882,2017-07-27,PCT/IB2017/000882,-,WO2017178898A2,1,WO2017178898A2,1,WO2017178898A2,1,1,0
PCT/IB2016/001552,2016-10-27,PCT/IB2016/001552,-,WO2016203322A3 | WO2016203322A2,2,WO2016203322A3 | WO2016203322A2,2,WO2016203322A3,1,1,0
PCT/IB2014/000551,2014-04-14,PCT/IB2014/000551,-,WO2014106814A2 | WO2014106814A3 | CN106489266A,3,WO2014106814A2 | WO2014106814A3 | CN106489266A,3,WO2014106814A3,1,1,0
PCT/US2015/060279,2015-11-12,PCT/US2015/060279,-,WO2017082903A1,1,WO2017082903A1,1,WO2017082903A1,1,1,0
PCT/US2016/041230,2016-07-07,PCT/US2016/041230,-,WO2018009190A1,1,WO2018009190A1,1,WO2018009190A1,1,1,0
EP2014305662,2014-05-05,EP2014305662,-,WO2015169474A1 | EP2942688A1,2,WO2015169474A1 | EP2942688A1,2,EP2942688A1,1,1,0
EP2014305488,2014-04-03,EP2014305488,-,EP2927771A1 | CN106575125A | WO2015150017A1,3,EP2927771A1 | CN106575125A | WO2015150017A1,3,EP2927771A1,1,1,0
EP2014305665,2014-05-06,EP2014305665,-,-,0,-,0,EP2942275A1,1,1,0
PCT/US2015/058900,2015-11-03,PCT/US2015/058900,-,WO2017078687A1,1,WO2017078687A1,1,WO2017078687A1,1,1,0
US15/212752,2016-07-18,US15/212752,-,-,0,-,0,US20180016003A1,1,1,0
EP2014305576,2014-04-17,EP2014305576,-,EP2933189A1,1,EP2933189A1,1,EP2933189A1,1,1,0
US14/732626,2015-06-05,US14/732626,-,US20160357183A1,1,US20160357183A1,1,US20160357183A1,1,1,0
US15/147605,2016-05-05,US15/147605,-,US20170323235A1,1,US20170323235A1,1,US20170323235A1,1,1,0
PCT/JP2016/066039,2016-05-31,PCT/JP2016/066039,-,JP6212662B1 | WO2017208353A1,2,JP6212662B1 | WO2017208353A1,2,WO2017208353A1,1,1,0
PCT/EP2015/056872,2015-03-30,PCT/EP2015/056872,-,WO2016155766A1,1,WO2016155766A1,1,WO2016155766A1,1,1,0
US14/929858,2015-11-02,US14/929858,-,US20170124884A1,1,US20170124884A1,1,US20170124884A1,1,1,0
US15/185382,2016-06-17,US15/185382,-,US20170361942A1,1,US20170361942A1,1,US20170361942A1,1,1,0
US14/994662,2016-01-13,US14/994662,-,US20170197714A1,1,US20170197714A1,1,US20170197714A1,1,1,0
US15/082176,2016-03-28,US15/082176,-,US20170278404A1,1,US20170278404A1,1,US20170278404A1,1,1,0
PCT/US2016/018201,2016-02-17,PCT/US2016/018201,-,-,0,-,0,WO2017142520A1,1,1,0
US14/869922,2015-09-29,US14/869922,-,US20170090484A1,1,US20170090484A1,1,US20170090484A1,1,1,0
US15/063424,2016-03-07,US15/063424,-,US20170257779A1,1,US20170257779A1,1,US20170257779A1,1,1,0
US14/951527,2015-11-25,US14/951527,-,US20170144762A1,1,US20170144762A1,1,US20170144762A1,1,1,0
PCT/CN2016/088042,2016-06-30,PCT/CN2016/088042,-,-,0,-,0,WO2018000399A1,1,1,0
US14/310261,2014-06-20,US14/310261,-,US9494937 | US20150370251A1,2,US9494937 | US20150370251A1,2,US9494937,1,1,0
US15/331989,2016-10-24,US15/331989,-,US9792576,1,US9792576,1,US9792576,1,1,0
US15/588282,2017-05-05,US15/588282,-,US9836049,1,US9836049,1,US9836049,1,1,0
US14/843329,2015-09-02,US14/843329,-,US20170057635A1,1,US20170057635A1,1,US20170057635A1,1,1,0
US08/287993,1994-08-08,US08/287993,-,US5521817,1,US5521817,1,US5521817,1,1,0
US14/698114,2015-04-28,US14/698114,-,US20160321503A1 | US9581999,2,US20160321503A1 | US9581999,2,US9581999,1,1,0
US15/048759,2016-02-19,US15/048759,-,US20170242431A1,1,US20170242431A1,1,US20170242431A1,1,1,0
US14/954595,2015-11-30,US14/954595,-,US20170154536A1,1,US20170154536A1,1,US20170154536A1,1,1,0
US14/143713,2013-12-30,US14/143713,-,US20150183498A1,1,US20150183498A1,1,US20150183498A1,1,1,0
US15/201055,2016-07-01,US15/201055,-,WO2018005011A1 | US20180007518A1,2,WO2018005011A1 | US20180007518A1,2,US20180007518A1,1,1,0
US15/418345,2017-01-27,US15/418345,-,US9773418,1,US9773418,1,US9773418,1,1,0
US15/064536,2016-03-08,US15/064536,-,-,0,-,0,US9852642,1,1,0
US14/794698,2015-07-08,US14/794698,-,US20170011340A1,1,US20170011340A1,1,US20170011340A1,1,1,0
US14/987000,2016-01-04,US14/987000,-,US20170193781A1 | US9734684,2,US20170193781A1 | US9734684,2,US9734684,1,1,0
US15/251485,2016-08-30,US15/251485,-,-,0,-,0,US9875592,1,1,0
US15/041313,2016-02-11,US15/041313,-,US20170235308A1,1,US20170235308A1,1,US20170235308A1,1,1,0
US15/189141,2016-06-22,US15/189141,-,-,0,-,0,US20170374351A1,1,1,0
US15/088949,2016-04-01,US15/088949,-,US20170285633A1,1,US20170285633A1,1,US20170285633A1,1,1,0
US14/480062,2014-09-08,US14/480062,-,EP3192026A1 | US20160068264A1 | JP2017534101A | CN106605252A | US9359074 | KR1020170049516A | WO2016039882A1,7,EP3192026A1 | US20160068264A1 | JP2017534101A | CN106605252A | US9359074 | KR1020170049516A | WO2016039882A1,7,US9359074,1,1,0
US14/750803,2015-06-25,US14/750803,-,WO2016209504A1 | US20160378109A1,2,WO2016209504A1 | US20160378109A1,2,US20160378109A1,1,1,0
US14/210219,2014-03-13,US14/210219,-,US20150260824A1,1,US20150260824A1,1,US20150260824A1,1,1,0
US15/588188,2017-05-05,US15/588188,-,-,0,-,0,US9868431,1,1,0
US14/823038,2015-08-11,US14/823038,-,US20170043869A1,1,US20170043869A1,1,US20170043869A1,1,1,0
US14/958408,2015-12-03,US14/958408,-,US20170160735A1 | US9841757,2,US20170160735A1 | US9841757,2,US9841757,1,1,0
US14/592494,2015-01-08,US14/592494,-,US20160204978A1 | US9479392,2,US20160204978A1 | US9479392,2,US9479392,1,1,0
US14/555384,2014-11-26,US14/555384,-,US9318014,1,US9318014,1,US9318014,1,1,0
US15/139001,2016-04-26,US15/139001,-,US20170308085A1,1,US20170308085A1,1,US20170308085A1,1,1,0
US14/687306,2015-04-15,US14/687306,-,US20160307449A1 | US20160306355A1,2,US20160307449A1 | US20160306355A1,2,US20160307449A1,1,1,0
US15/089664,2016-04-04,US15/089664,-,US20170288768A1,1,US20170288768A1,1,US20170288768A1,1,1,0
US14/687101,2015-04-15,US14/687101,-,US20160304201A1 | US9481460 | US9447448,3,US20160304201A1 | US9481460 | US9447448,3,US9481460,1,1,0
US14/870384,2015-09-30,US14/870384,-,US9337889,1,US9337889,1,US9337889,1,1,0
US14/863918,2015-09-24,US14/863918,-,US20170090483A1 | WO2017053996A1,2,US20170090483A1 | WO2017053996A1,2,US20170090483A1,1,1,0
US14/565418,2014-12-09,US14/565418,-,-,0,-,0,US9840340,1,1,0
